NO_IES,UF,CURSO,RAÇA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PRETA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PRETA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Contábeis,BRANCA
